,ชื่อย่อหลักทรัพย์,ชื่อเต็มหลักทรัพย์จดทะเบียน,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,Factsheet
13,DTAC,บริษัท โทเทิ่ล แอ็คเซ็ส คอมมูนิเคชั่น จำกัด (มหาชน),SET,TECH,ICT,
14,DTCENT,บริษัท ดี.ที.ซี. เอ็นเตอร์ไพรส์ จำกัด (มหาชน),SET,TECH,ICT,
15,DTCI,บริษัท ดี.ที.ซี.อินดัสตรี่ส์ จำกัด (มหาชน),SET,CONSUMP,HOME,
16,DUSIT,บริษัท ดุสิตธานี จำกัด (มหาชน),SET,SERVICE,TOURISM,
17,DV8,บริษัท ดีวี8 จำกัด (มหาชน),mai,SERVICE,-,
18,EA,บริษัท พลังงานบริสุทธิ์ จำกัด (มหาชน),SET,RESOURC,ENERG,
19,EASON,บริษัท อีซึ่น แอนด์ โค จำกัด (มหาชน),SET,INDUS,AUTO,
20,EASTW,บริษัท จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก จำกัด (มหาชน),SET,RESOURC,ENERG,
21,ECF,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),mai,CONSUMP,-,
22,ECL,บริษัท ตะวันออกพาณิชย์ลีสซิ่ง จำกัด (มหาชน),SET,FINCIAL,FIN,
23,EE,บริษัท อีเทอเนิล เอนเนอยี จำกัด (มหาชน),SET,AGRO,AGRI,
24,EFORL,บริษัท อี ฟอร์ แอล เอม จำกัด (มหาชน),mai,CONSUMP,-,
25,EGATIF,กองทุนรวมโครงสร้างพื้นฐาน โรงไฟฟ้าพระนครเหนือ ชุดที่ 1 การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,SET,RESOURC,ENERG,
26,EGCO,บริษัท ผลิตไฟฟ้า จำกัด (มหาชน),SET,RESOURC,ENERG,
27,EKH,บริษัท เอกชัยการแพทย์ จำกัด (มหาชน),SET,SERVICE,HELTH,
28,EMC,บริษัท อีเอ็มซี จำกัด (มหาชน),SET,PROPCON,CONS,
29,EP,บริษัท อีสเทอร์น พาวเวอร์ กรุ๊ป จำกัด (มหาชน),SET,RESOURC,ENERG,
30,EPG,บริษัท อีสเทิร์นโพลีเมอร์ กรุ๊ป จำกัด (มหาชน),SET,PROPCON,CONMAT,
31,ERW,บริษัท ดิ เอราวัณ กรุ๊ป จำกัด (มหาชน),SET,SERVICE,TOURISM,
32,ERWPF,กองทุนรวมอสังหาริมทรัพย์เอราวัณ โฮเทล โกรท,SET,PROPCON,PF&REIT,
33,ESSO,บริษัท เอสโซ่ (ประเทศไทย) จำกัด (มหาชน),SET,RESOURC,ENERG,
34,ESTAR,บริษัท อีสเทอร์น สตาร์ เรียล เอสเตท จำกัด (มหาชน),SET,PROPCON,PROP,
35,ETC,บริษัท เอิร์ธ เท็ค เอนไวรอนเมนท์ จำกัด (มหาชน),SET,RESOURC,ENERG,
36,ETE,บริษัท บูรพา เทคนิคอล เอ็นจิเนียริ่ง จำกัด (มหาชน),mai,SERVICE,-,
